method,split,seed,episode,success,final_error,energy,max_contact_force,contact_violation,transfer_accept,false_accept,false_reject,contract_label,contract_score,contract_worst,onset_error,slip_error,force_slope_error,energy_error,lag_error,target_friction,target_mass,target_actuator_scale,sensor_bias_norm,action_note
random_push,high_friction,3,0,1,0.02727,0.47273,6.41002,0,1,0,0,0,0.24624,0.74405,0.74405,0.03935,0.29376,0.13784,0.01619,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,1,0,0.11973,0.53090,9.00018,0,1,1,0,1,1.29360,5.20833,5.20833,0.58141,0.37277,0.14676,0.15874,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,2,1,0.01358,0.48293,7.89397,0,1,0,0,1,0.44633,1.48810,1.48810,0.08961,0.39554,0.22943,0.02895,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,3,0,0.12063,0.37973,6.35105,0,1,1,0,1,0.78942,2.97619,2.97619,0.32243,0.40318,0.16389,0.08141,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,4,0,0.20661,0.34309,5.42271,0,1,1,0,0,0.12041,0.36682,0.00000,0.05577,0.36682,0.17201,0.00746,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,5,0,0.15144,0.32931,5.84104,0,1,1,0,1,0.59225,2.23214,2.23214,0.16273,0.32651,0.18905,0.05083,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,6,0,0.15520,0.46190,8.72995,0,1,1,0,0,0.27162,0.74405,0.74405,0.04488,0.36235,0.19091,0.01590,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,7,0,0.09121,0.47117,9.48159,0,1,1,0,0,0.32229,0.74405,0.74405,0.26821,0.37568,0.15545,0.06806,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,8,1,0.05805,0.50008,8.21836,0,1,0,0,0,0.29298,0.74405,0.74405,0.11961,0.38644,0.18726,0.02756,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,9,1,0.05044,0.51499,7.75182,0,1,0,0,1,1.77518,7.44048,7.44048,0.77097,0.35502,0.10047,0.20898,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,10,1,0.04730,0.53978,9.05887,0,1,0,0,0,0.27512,0.74405,0.74405,0.04167,0.38352,0.18625,0.02013,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,3,11,0,0.17691,0.34788,6.92652,0,1,1,0,0,0.31229,0.74405,0.74405,0.17024,0.40936,0.19529,0.04249,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,0,0,0.19043,0.32959,7.50321,0,1,1,0,1,0.81467,2.97619,2.97619,0.33548,0.47261,0.20490,0.08415,1.2500,0.1650,0.9600,0.00000,random
random_push,high_friction,4,1,1,0.04707,0.41980,5.62597,0,1,0,0,1,0.46904,1.48810,1.48810,0.33639,0.24905,0.21070,0.06094,1.2500,0.1650,0.9600,0.00000,random
