method,split,seed,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,accept_rate,false_accept_rate,false_reject_rate,mean_contract_score,episodes,seeds
ensemble_uncertainty_mpc,high_friction,3,1.0000,0.0000,0.0212,0.0037,0.5440,0.0357,1.0000,0.0000,0.0000,0.5808,12,1
ensemble_uncertainty_mpc,high_friction,4,1.0000,0.0000,0.0199,0.0024,0.5374,0.0336,1.0000,0.0000,0.0000,0.6010,12,1
ensemble_uncertainty_mpc,low_friction,0,1.0000,0.0000,0.0323,0.0123,0.4320,0.0322,1.0000,0.0000,0.0000,0.4788,12,1
ensemble_uncertainty_mpc,low_friction,1,1.0000,0.0000,0.0128,0.0081,0.3767,0.0229,1.0000,0.0000,0.0000,0.4801,12,1
ensemble_uncertainty_mpc,low_friction,2,1.0000,0.0000,0.0139,0.0067,0.3803,0.0259,1.0000,0.0000,0.0000,0.4602,12,1
ensemble_uncertainty_mpc,low_friction,3,1.0000,0.0000,0.0171,0.0080,0.3957,0.0307,1.0000,0.0000,0.0000,0.5421,12,1
ensemble_uncertainty_mpc,low_friction,4,1.0000,0.0000,0.0264,0.0112,0.4171,0.0326,1.0000,0.0000,0.0000,0.4746,12,1
ensemble_uncertainty_mpc,mass_compliance,0,1.0000,0.0000,0.0228,0.0026,0.4946,0.0272,1.0000,0.0000,0.0000,0.7482,12,1
ensemble_uncertainty_mpc,mass_compliance,1,1.0000,0.0000,0.0209,0.0038,0.5020,0.0303,1.0000,0.0000,0.0000,0.6001,12,1
ensemble_uncertainty_mpc,mass_compliance,2,1.0000,0.0000,0.0282,0.0039,0.4933,0.0201,1.0000,0.0000,0.0000,0.6499,12,1
ensemble_uncertainty_mpc,mass_compliance,3,1.0000,0.0000,0.0234,0.0022,0.4727,0.0313,1.0000,0.0000,0.0000,0.5867,12,1
ensemble_uncertainty_mpc,mass_compliance,4,1.0000,0.0000,0.0245,0.0022,0.4818,0.0304,1.0000,0.0000,0.0000,0.7048,12,1
ensemble_uncertainty_mpc,nominal_target,0,1.0000,0.0000,0.0150,0.0030,0.4214,0.0165,1.0000,0.0000,0.0000,0.3234,12,1
ensemble_uncertainty_mpc,nominal_target,1,1.0000,0.0000,0.0149,0.0024,0.4110,0.0172,1.0000,0.0000,0.0000,0.5159,12,1
ensemble_uncertainty_mpc,nominal_target,2,1.0000,0.0000,0.0195,0.0052,0.4627,0.0307,1.0000,0.0000,0.0000,0.3472,12,1
ensemble_uncertainty_mpc,nominal_target,3,1.0000,0.0000,0.0162,0.0048,0.4501,0.0306,1.0000,0.0000,0.0000,0.4524,12,1
ensemble_uncertainty_mpc,nominal_target,4,1.0000,0.0000,0.0194,0.0051,0.4460,0.0321,1.0000,0.0000,0.0000,0.3897,12,1
ensemble_uncertainty_mpc,sensor_bias,0,0.4167,0.2913,0.0956,0.0379,0.3756,0.0174,1.0000,0.5833,0.0000,1.4023,12,1
ensemble_uncertainty_mpc,sensor_bias,1,0.5000,0.2955,0.0844,0.0484,0.4237,0.0474,1.0000,0.5000,0.0000,3.1017,12,1
ensemble_uncertainty_mpc,sensor_bias,2,0.7500,0.2559,0.0563,0.0306,0.4398,0.0412,1.0000,0.2500,0.0000,3.9571,12,1
ensemble_uncertainty_mpc,sensor_bias,3,0.3333,0.2786,0.1043,0.0389,0.4272,0.0357,1.0000,0.6667,0.0000,2.8708,12,1
ensemble_uncertainty_mpc,sensor_bias,4,0.7500,0.2559,0.0652,0.0401,0.4626,0.0360,1.0000,0.2500,0.0000,1.7659,12,1
mechanism_contract_mpc,actuator_lag,0,0.6667,0.2786,0.0691,0.0104,0.3447,0.0167,0.1667,0.1667,0.6667,0.8187,12,1
mechanism_contract_mpc,actuator_lag,1,0.7500,0.2559,0.0651,0.0088,0.3488,0.0199,0.1667,0.0000,0.5833,0.7455,12,1
mechanism_contract_mpc,actuator_lag,2,0.5000,0.2955,0.0732,0.0100,0.3585,0.0222,0.3333,0.1667,0.3333,0.3605,12,1
mechanism_contract_mpc,actuator_lag,3,0.6667,0.2786,0.0697,0.0126,0.3504,0.0160,0.1667,0.1667,0.6667,0.6876,12,1
mechanism_contract_mpc,actuator_lag,4,0.6667,0.2786,0.0766,0.0101,0.3656,0.0250,0.3333,0.2500,0.5833,0.4834,12,1
mechanism_contract_mpc,combined_gap,0,0.5000,0.2955,0.0800,0.0300,0.5583,0.0612,0.0833,0.0000,0.4167,2.4438,12,1
mechanism_contract_mpc,combined_gap,1,0.4167,0.2913,0.0990,0.0348,0.5293,0.0628,0.0000,0.0000,0.4167,3.0288,12,1
mechanism_contract_mpc,combined_gap,2,0.5000,0.2955,0.0872,0.0315,0.5351,0.0471,0.0000,0.0000,0.5000,2.2332,12,1
mechanism_contract_mpc,combined_gap,3,0.5833,0.2913,0.0897,0.0361,0.5383,0.0571,0.0000,0.0000,0.5833,2.6807,12,1
mechanism_contract_mpc,combined_gap,4,0.5000,0.2955,0.0796,0.0339,0.5316,0.0399,0.0000,0.0000,0.5000,3.4375,12,1
mechanism_contract_mpc,high_friction,0,1.0000,0.0000,0.0331,0.0118,0.5067,0.0292,0.3333,0.0000,0.6667,0.4835,12,1
mechanism_contract_mpc,high_friction,1,1.0000,0.0000,0.0159,0.0072,0.5012,0.0252,0.3333,0.0000,0.6667,0.5968,12,1
mechanism_contract_mpc,high_friction,2,1.0000,0.0000,0.0141,0.0056,0.5512,0.0247,0.5000,0.0000,0.5000,0.4938,12,1
mechanism_contract_mpc,high_friction,3,1.0000,0.0000,0.0218,0.0077,0.5212,0.0316,0.3333,0.0000,0.6667,0.4946,12,1
mechanism_contract_mpc,high_friction,4,1.0000,0.0000,0.0166,0.0074,0.5232,0.0243,0.5000,0.0000,0.5000,0.4380,12,1
mechanism_contract_mpc,low_friction,0,1.0000,0.0000,0.0323,0.0110,0.3499,0.0252,0.4167,0.0000,0.5833,0.3901,12,1
mechanism_contract_mpc,low_friction,1,1.0000,0.0000,0.0268,0.0098,0.3488,0.0193,0.4167,0.0000,0.5833,0.4809,12,1
mechanism_contract_mpc,low_friction,2,1.0000,0.0000,0.0366,0.0076,0.3496,0.0251,0.6667,0.0000,0.3333,0.4323,12,1
mechanism_contract_mpc,low_friction,3,1.0000,0.0000,0.0272,0.0100,0.3500,0.0178,0.4167,0.0000,0.5833,0.5561,12,1
mechanism_contract_mpc,low_friction,4,1.0000,0.0000,0.0374,0.0094,0.3373,0.0213,0.7500,0.0000,0.2500,0.2333,12,1
mechanism_contract_mpc,mass_compliance,0,1.0000,0.0000,0.0332,0.0109,0.4521,0.0274,0.3333,0.0000,0.6667,0.5852,12,1
mechanism_contract_mpc,mass_compliance,1,1.0000,0.0000,0.0310,0.0094,0.4628,0.0231,0.0833,0.0000,0.9167,0.9343,12,1
mechanism_contract_mpc,mass_compliance,2,1.0000,0.0000,0.0361,0.0104,0.4673,0.0254,0.2500,0.0000,0.7500,0.5598,12,1
mechanism_contract_mpc,mass_compliance,3,1.0000,0.0000,0.0278,0.0091,0.4904,0.0251,0.0833,0.0000,0.9167,0.6789,12,1
mechanism_contract_mpc,mass_compliance,4,1.0000,0.0000,0.0289,0.0104,0.4448,0.0348,0.3333,0.0000,0.6667,0.4497,12,1
mechanism_contract_mpc,nominal_target,0,1.0000,0.0000,0.0307,0.0106,0.4100,0.0282,0.5833,0.0000,0.4167,0.3881,12,1
mechanism_contract_mpc,nominal_target,1,1.0000,0.0000,0.0374,0.0092,0.4228,0.0313,0.4167,0.0000,0.5833,0.3651,12,1
mechanism_contract_mpc,nominal_target,2,1.0000,0.0000,0.0319,0.0089,0.4138,0.0283,0.1667,0.0000,0.8333,0.5341,12,1
mechanism_contract_mpc,nominal_target,3,1.0000,0.0000,0.0233,0.0107,0.4215,0.0237,0.2500,0.0000,0.7500,0.5212,12,1
mechanism_contract_mpc,nominal_target,4,1.0000,0.0000,0.0282,0.0113,0.4231,0.0192,0.1667,0.0000,0.8333,0.4719,12,1
mechanism_contract_mpc,sensor_bias,0,0.6667,0.2786,0.0640,0.0337,0.3915,0.0477,0.0000,0.0000,0.6667,3.2220,12,1
mechanism_contract_mpc,sensor_bias,1,0.5833,0.2913,0.0693,0.0379,0.4095,0.0386,0.0833,0.0833,0.5833,2.2158,12,1
mechanism_contract_mpc,sensor_bias,2,0.3333,0.2786,0.1048,0.0436,0.4442,0.0220,0.0833,0.0833,0.3333,2.1606,12,1
mechanism_contract_mpc,sensor_bias,3,0.6667,0.2786,0.0664,0.0314,0.4115,0.0422,0.0833,0.0833,0.6667,2.5515,12,1
mechanism_contract_mpc,sensor_bias,4,0.5000,0.2955,0.0843,0.0385,0.4094,0.0351,0.0833,0.0833,0.5000,2.4064,12,1
oracle_target_mpc,actuator_lag,0,1.0000,0.0000,0.0193,0.0013,0.3768,0.0173,1.0000,0.0000,0.0000,0.5185,12,1
oracle_target_mpc,actuator_lag,1,1.0000,0.0000,0.0185,0.0015,0.3505,0.0184,1.0000,0.0000,0.0000,0.6246,12,1
oracle_target_mpc,actuator_lag,2,1.0000,0.0000,0.0187,0.0013,0.3681,0.0203,1.0000,0.0000,0.0000,0.6294,12,1
oracle_target_mpc,actuator_lag,3,1.0000,0.0000,0.0191,0.0013,0.3531,0.0193,1.0000,0.0000,0.0000,0.6615,12,1
oracle_target_mpc,actuator_lag,4,1.0000,0.0000,0.0198,0.0018,0.3813,0.0192,1.0000,0.0000,0.0000,0.5036,12,1
oracle_target_mpc,combined_gap,0,1.0000,0.0000,0.0060,0.0007,0.6168,0.0678,1.0000,0.0000,0.0000,2.0905,12,1
oracle_target_mpc,combined_gap,1,1.0000,0.0000,0.0053,0.0009,0.6279,0.0501,1.0000,0.0000,0.0000,1.8219,12,1
oracle_target_mpc,combined_gap,2,1.0000,0.0000,0.0055,0.0012,0.5708,0.0373,1.0000,0.0000,0.0000,1.8865,12,1
oracle_target_mpc,combined_gap,3,1.0000,0.0000,0.0051,0.0018,0.5977,0.0291,1.0000,0.0000,0.0000,1.8268,12,1
oracle_target_mpc,combined_gap,4,1.0000,0.0000,0.0060,0.0023,0.6042,0.0333,1.0000,0.0000,0.0000,2.2027,12,1
oracle_target_mpc,high_friction,0,1.0000,0.0000,0.0344,0.0090,0.5374,0.0265,1.0000,0.0000,0.0000,0.5183,12,1
oracle_target_mpc,high_friction,1,1.0000,0.0000,0.0304,0.0054,0.5396,0.0352,1.0000,0.0000,0.0000,0.4976,12,1
oracle_target_mpc,high_friction,2,1.0000,0.0000,0.0298,0.0044,0.5308,0.0245,1.0000,0.0000,0.0000,0.5292,12,1
oracle_target_mpc,high_friction,3,1.0000,0.0000,0.0326,0.0051,0.5363,0.0228,1.0000,0.0000,0.0000,0.5677,12,1
oracle_target_mpc,high_friction,4,1.0000,0.0000,0.0374,0.0070,0.5608,0.0160,1.0000,0.0000,0.0000,0.5404,12,1
oracle_target_mpc,low_friction,0,1.0000,0.0000,0.0333,0.0027,0.2630,0.0123,1.0000,0.0000,0.0000,0.4807,12,1
oracle_target_mpc,low_friction,1,1.0000,0.0000,0.0342,0.0028,0.2666,0.0122,1.0000,0.0000,0.0000,0.3590,12,1
oracle_target_mpc,low_friction,2,1.0000,0.0000,0.0345,0.0038,0.2684,0.0176,1.0000,0.0000,0.0000,0.5659,12,1
oracle_target_mpc,low_friction,3,1.0000,0.0000,0.0354,0.0037,0.2723,0.0163,1.0000,0.0000,0.0000,0.4336,12,1
oracle_target_mpc,low_friction,4,1.0000,0.0000,0.0315,0.0028,0.2545,0.0124,1.0000,0.0000,0.0000,0.2539,12,1
oracle_target_mpc,mass_compliance,0,1.0000,0.0000,0.0143,0.0009,0.4489,0.0210,1.0000,0.0000,0.0000,0.7210,12,1
oracle_target_mpc,mass_compliance,1,1.0000,0.0000,0.0144,0.0014,0.4497,0.0239,1.0000,0.0000,0.0000,0.4517,12,1
oracle_target_mpc,mass_compliance,2,1.0000,0.0000,0.0141,0.0008,0.4537,0.0187,1.0000,0.0000,0.0000,0.8257,12,1
oracle_target_mpc,mass_compliance,3,1.0000,0.0000,0.0136,0.0004,0.4434,0.0164,1.0000,0.0000,0.0000,0.5486,12,1
oracle_target_mpc,mass_compliance,4,1.0000,0.0000,0.0143,0.0008,0.4647,0.0208,1.0000,0.0000,0.0000,0.8418,12,1
oracle_target_mpc,nominal_target,0,1.0000,0.0000,0.0071,0.0011,0.3906,0.0141,1.0000,0.0000,0.0000,0.4684,12,1
oracle_target_mpc,nominal_target,1,1.0000,0.0000,0.0063,0.0008,0.3851,0.0180,1.0000,0.0000,0.0000,0.3766,12,1
oracle_target_mpc,nominal_target,2,1.0000,0.0000,0.0069,0.0009,0.3678,0.0243,1.0000,0.0000,0.0000,0.3111,12,1
oracle_target_mpc,nominal_target,3,1.0000,0.0000,0.0070,0.0014,0.3854,0.0139,1.0000,0.0000,0.0000,0.3722,12,1
oracle_target_mpc,nominal_target,4,1.0000,0.0000,0.0080,0.0010,0.3831,0.0144,1.0000,0.0000,0.0000,0.4287,12,1
oracle_target_mpc,sensor_bias,0,1.0000,0.0000,0.0086,0.0036,0.3867,0.0251,1.0000,0.0000,0.0000,2.1346,12,1
oracle_target_mpc,sensor_bias,1,1.0000,0.0000,0.0067,0.0016,0.3944,0.0231,1.0000,0.0000,0.0000,2.9721,12,1
oracle_target_mpc,sensor_bias,2,1.0000,0.0000,0.0072,0.0012,0.3872,0.0247,1.0000,0.0000,0.0000,2.5005,12,1
oracle_target_mpc,sensor_bias,3,1.0000,0.0000,0.0085,0.0016,0.4202,0.0220,1.0000,0.0000,0.0000,1.7790,12,1
oracle_target_mpc,sensor_bias,4,1.0000,0.0000,0.0083,0.0023,0.3986,0.0292,1.0000,0.0000,0.0000,3.3052,12,1
random_push,actuator_lag,0,0.0833,0.1633,0.1137,0.0158,0.3323,0.0278,1.0000,0.9167,0.0000,0.3651,12,1
random_push,actuator_lag,1,0.0833,0.1633,0.1158,0.0235,0.3085,0.0337,1.0000,0.9167,0.0000,0.4477,12,1
random_push,actuator_lag,2,0.1667,0.2202,0.1135,0.0232,0.3224,0.0313,1.0000,0.8333,0.0000,0.5480,12,1
random_push,actuator_lag,3,0.1667,0.2202,0.1321,0.0274,0.2976,0.0213,1.0000,0.8333,0.0000,0.5373,12,1
random_push,actuator_lag,4,0.4167,0.2913,0.0916,0.0209,0.3264,0.0269,1.0000,0.5833,0.0000,0.5248,12,1
random_push,combined_gap,0,0.1667,0.2202,0.1491,0.0316,0.4253,0.0621,1.0000,0.8333,0.0000,4.1025,12,1
